Year,Month,DayofMonth,UniqueCarrier,Cancelled,AllFlights
1987,10,14,HP,3,501
1987,10,14,NW,0,1245
1987,10,14,"PA (1)",1,161
1987,10,14,PI,16,1292
1987,10,14,PS,2,514
1987,10,14,TW,0,811
1987,10,14,UA,9,1690
1987,10,14,US,1,1080
1987,10,14,WN,0,774
1987,10,15,AA,0,1830
1987,10,15,AS,0,257
1987,10,15,CO,0,1423
1987,10,15,DL,5,2071
1987,10,15,EA,13,1214
1987,10,15,HP,14,461
1987,10,15,NW,2,1259
1987,10,15,"PA (1)",1,176
1987,10,15,PI,2,1285
1987,10,15,PS,2,518
1987,10,15,TW,0,801
1987,10,15,UA,5,1733
1987,10,15,US,1,1068
1987,10,15,WN,2,758
1987,10,16,AA,9,1844
1987,10,16,AS,5,244
1987,10,16,CO,6,1447
1987,10,16,DL,11,2054
1987,10,16,EA,15,1207
1987,10,16,HP,13,478
1987,10,16,NW,3,1269
1987,10,16,"PA (1)",1,170
1987,10,16,PI,3,1290
1987,10,16,PS,5,495
1987,10,16,TW,3,786
1987,10,16,UA,2,1717
1987,10,16,US,0,1066
1987,10,16,WN,0,762
1987,10,17,AA,4,1784
1987,10,17,AS,0,215
1987,10,17,CO,4,1261
1987,10,17,DL,22,1974
1987,10,17,EA,25,1158
1987,10,17,HP,2,485
1987,10,17,NW,1,1119
1987,10,17,"PA (1)",0,167
1987,10,17,PI,22,1191
1987,10,17,PS,0,344
1987,10,17,TW,1,726
1987,10,17,UA,9,1689
1987,10,17,US,6,931
1987,10,17,WN,0,507
1987,10,18,AA,2,1811
1987,10,18,AS,2,212
1987,10,18,CO,5,1303
1987,10,18,DL,7,1982
1987,10,18,EA,20,1171
1987,10,18,HP,0,462
1987,10,18,NW,2,1164
1987,10,18,"PA (1)",0,163
1987,10,18,PI,4,1211
1987,10,18,PS,0,440
1987,10,18,TW,0,744
1987,10,18,UA,8,1706
1987,10,18,US,3,1023
1987,10,18,WN,0,658
1987,10,19,AA,5,1789
1987,10,19,AS,2,250
1987,10,19,CO,9,1427
1987,10,19,DL,9,2040
1987,10,19,EA,27,1178
1987,10,19,HP,4,503
1987,10,19,NW,1,1240
1987,10,19,"PA (1)",0,169
1987,10,19,PI,8,1289
1987,10,19,PS,6,504
1987,10,19,TW,0,793
1987,10,19,UA,4,1723
1987,10,19,US,11,1074
1987,10,19,WN,0,763
1987,10,20,AA,6,1815
1987,10,20,AS,2,240
1987,10,20,CO,12,1401
1987,10,20,DL,10,2049
1987,10,20,EA,37,1201
1987,10,20,HP,0,496
1987,10,20,NW,6,1237
1987,10,20,"PA (1)",1,164
1987,10,20,PI,3,1293
1987,10,20,PS,2,507
1987,10,20,TW,1,793
1987,10,20,UA,3,1719
1987,10,20,US,49,1073
1987,10,20,WN,0,756
1987,10,21,AA,6,1788
1987,10,21,AS,6,251
1987,10,21,CO,2,1377
1987,10,21,DL,7,2056
1987,10,21,EA,32,1207
1987,10,21,HP,3,478
1987,10,21,NW,2,1203
1987,10,21,"PA (1)",1,164
1987,10,21,PI,28,1307
1987,10,21,PS,2,485
1987,10,21,TW,0,788
1987,10,21,UA,0,1737
1987,10,21,US,0,1083
1987,10,21,WN,1,779
1987,10,22,AA,9,1788
1987,10,22,AS,2,242
1987,10,22,CO,0,1440
1987,10,22,DL,6,2066
1987,10,22,EA,29,1203
1987,10,22,HP,3,499
1987,10,22,NW,7,1219
1987,10,22,"PA (1)",0,165
1987,10,22,PI,6,1290
1987,10,22,PS,3,491
1987,10,22,TW,0,759
1987,10,22,UA,8,1724
1987,10,22,US,0,1083
1987,10,22,WN,9,747
1987,10,23,AA,4,1779
1987,10,23,AS,8,233
1987,10,23,CO,4,1410
1987,10,23,DL,1,2065
1987,10,23,EA,20,1225
1987,10,23,HP,0,491
1987,10,23,NW,10,1209
1987,10,23,"PA (1)",0,163
1987,10,23,PI,24,1292
1987,10,23,PS,7,505
1987,10,23,TW,0,760
1987,10,23,UA,4,1722
1987,10,23,US,0,1070
1987,10,23,WN,1,681
1987,10,24,AA,3,1760
1987,10,24,AS,4,208
1987,10,24,CO,4,1263
1987,10,24,DL,4,1956
1987,10,24,EA,20,1166
1987,10,24,HP,5,490
1987,10,24,NW,11,1074
1987,10,24,"PA (1)",1,158
1987,10,24,PI,6,1180
1987,10,24,PS,2,363
1987,10,24,TW,0,703
1987,10,24,UA,8,1642
1987,10,24,US,0,940
1987,10,24,WN,0,516
1987,10,25,AA,0,1795
1987,10,25,AS,0,209
1987,10,25,CO,1,1269
1987,10,25,DL,68,1990
1987,10,25,EA,21,1191
1987,10,25,HP,0,480
1987,10,25,NW,5,1158
1987,10,25,"PA (1)",0,154
1987,10,25,PI,9,1218
1987,10,25,PS,1,440
1987,10,25,TW,2,741
1987,10,25,UA,5,1687
1987,10,25,US,0,1024
1987,10,25,WN,2,589
1987,10,26,AA,3,1826
1987,10,26,AS,8,260
1987,10,26,CO,0,1395
1987,10,26,DL,7,2069
1987,10,26,EA,29,1213
1987,10,26,HP,1,496
1987,10,26,NW,7,1231
1987,10,26,"PA (1)",0,168
1987,10,26,PI,20,1310
1987,10,26,PS,2,495
1987,10,26,TW,1,794
1987,10,26,UA,7,1748
1987,10,26,US,1,1068
1987,10,26,WN,0,763
1987,10,27,AA,6,1802
1987,10,27,AS,7,261
1987,10,27,CO,3,1378
1987,10,27,DL,7,2059
1987,10,27,EA,25,1203
1987,10,27,HP,2,502
1987,10,27,NW,0,1234
1987,10,27,"PA (1)",1,166
1987,10,27,PI,18,1279
1987,10,27,PS,0,492
1987,10,27,TW,4,774
1987,10,27,UA,5,1720
1987,10,27,US,1,1059
1987,10,27,WN,0,775
1987,10,28,AA,31,1816
1987,10,28,AS,27,261
1987,10,28,CO,11,1393
1987,10,28,DL,16,2072
1987,10,28,EA,34,1208
1987,10,28,HP,2,492
1987,10,28,NW,7,1248
1987,10,28,"PA (1)",0,169
1987,10,28,PI,6,1298
1987,10,28,PS,23,481
1987,10,28,TW,2,768
1987,10,28,UA,14,1720
1987,10,28,US,1,1080
1987,10,28,WN,0,756
1987,10,29,AA,9,1843
1987,10,29,AS,2,271
1987,10,29,CO,1,1442
1987,10,29,DL,2,2051
1987,10,29,EA,33,1180
1987,10,29,HP,4,476
1987,10,29,NW,0,1265
1987,10,29,"PA (1)",0,176
1987,10,29,PI,3,1288
1987,10,29,PS,14,485
1987,10,29,TW,0,789
1987,10,29,UA,10,1701
1987,10,29,US,0,1073
1987,10,29,WN,0,761
1987,10,30,AA,2,1846
1987,10,30,AS,0,256
1987,10,30,CO,7,1376
1987,10,30,DL,3,2057
1987,10,30,EA,29,1196
1987,10,30,HP,5,501
1987,10,30,NW,3,1266
1987,10,30,"PA (1)",0,172
1987,10,30,PI,8,1288
1987,10,30,PS,2,513
1987,10,30,TW,0,776
1987,10,30,UA,11,1690
1987,10,30,US,0,1074
1987,10,30,WN,0,764
1987,10,31,AA,7,1728
1987,10,31,AS,4,209
1987,10,31,CO,13,1257
1987,10,31,DL,11,1963
1987,10,31,EA,38,1132
1987,10,31,HP,12,454
1987,10,31,NW,19,1136
1987,10,31,"PA (1)",6,161
1987,10,31,PI,2,1191
1987,10,31,PS,0,324
1987,10,31,TW,2,702
1987,10,31,UA,17,1613
1987,10,31,US,0,940
1987,10,31,WN,0,518
1987,11,1,AA,11,1795
1987,11,1,AS,0,221
1987,11,1,CO,3,1249
1987,11,1,DL,23,1986
1987,11,1,EA,15,1131
1987,11,1,HP,17,469
1987,11,1,NW,29,1127
1987,11,1,"PA (1)",1,181
1987,11,1,PI,7,1221
1987,11,1,PS,2,368
1987,11,1,TW,7,749
1987,11,1,UA,1,1637
1987,11,1,US,2,1016
1987,11,1,WN,2,620
1987,11,2,AA,3,1813
1987,11,2,AS,3,256
1987,11,2,CO,3,1421
1987,11,2,DL,28,2067
1987,11,2,EA,17,1198
1987,11,2,HP,4,490
1987,11,2,NW,21,1256
1987,11,2,"PA (1)",0,191
1987,11,2,PI,4,1292
1987,11,2,PS,3,466
1987,11,2,TW,6,795
1987,11,2,UA,4,1665
1987,11,2,US,0,1076
1987,11,2,WN,4,765
1987,11,3,AA,3,1799
1987,11,3,AS,0,260
1987,11,3,CO,1,1430
1987,11,3,DL,13,2096
1987,11,3,EA,13,1180
1987,11,3,HP,8,485
1987,11,3,NW,3,1239
1987,11,3,"PA (1)",4,179
1987,11,3,PI,13,1291
1987,11,3,PS,0,504
1987,11,3,TW,3,800
1987,11,3,UA,5,1667
1987,11,3,US,26,1082
1987,11,3,WN,4,779
1987,11,4,AA,13,1823
1987,11,4,AS,2,258
1987,11,4,CO,3,1429
1987,11,4,DL,21,2080
1987,11,4,EA,12,1213
1987,11,4,HP,4,501
1987,11,4,NW,3,1235
1987,11,4,"PA (1)",0,191
1987,11,4,PI,3,1294
1987,11,4,PS,10,478
1987,11,4,TW,3,793
1987,11,4,UA,3,1680
1987,11,4,US,2,1068
1987,11,4,WN,0,781
1987,11,5,AA,29,1818
1987,11,5,AS,8,266
1987,11,5,CO,3,1422
1987,11,5,DL,43,2060
1987,11,5,EA,15,1204
1987,11,5,HP,19,499
1987,11,5,NW,1,1222
1987,11,5,"PA (1)",4,182
1987,11,5,PI,8,1293
1987,11,5,PS,55,503
1987,11,5,TW,4,765
1987,11,5,UA,16,1672
1987,11,5,US,0,1072
1987,11,5,WN,10,780
1987,11,6,AA,3,1809
1987,11,6,AS,0,252
1987,11,6,CO,1,1403
1987,11,6,DL,25,2062
1987,11,6,EA,18,1187
1987,11,6,HP,6,495
1987,11,6,NW,3,1207
1987,11,6,"PA (1)",2,188
1987,11,6,PI,8,1293
1987,11,6,PS,9,499
1987,11,6,TW,4,779
1987,11,6,UA,18,1675
1987,11,6,US,0,1059
1987,11,6,WN,0,761
1987,11,7,AA,11,1776
1987,11,7,AS,1,216
1987,11,7,CO,2,1250
1987,11,7,DL,25,1986
1987,11,7,EA,14,1134
1987,11,7,HP,1,484
1987,11,7,NW,6,1058
1987,11,7,"PA (1)",0,179
1987,11,7,PI,7,1185
1987,11,7,PS,0,342
1987,11,7,TW,1,716
1987,11,7,UA,3,1612
1987,11,7,US,0,936
1987,11,7,WN,0,521
1987,11,8,AA,4,1792
1987,11,8,AS,0,219
1987,11,8,CO,4,1294
1987,11,8,DL,21,2003
1987,11,8,EA,19,1140
1987,11,8,HP,0,477
1987,11,8,NW,5,1058
1987,11,8,"PA (1)",1,175
1987,11,8,PI,3,1226
1987,11,8,PS,0,417
1987,11,8,TW,1,748
1987,11,8,UA,1,1651
1987,11,8,US,0,1023
1987,11,8,WN,0,600
1987,11,9,AA,0,1803
1987,11,9,AS,0,263
1987,11,9,CO,0,1382
1987,11,9,DL,30,2087
1987,11,9,EA,12,1197
1987,11,9,HP,1,510
1987,11,9,NW,3,1159
1987,11,9,"PA (1)",0,179
1987,11,9,PI,5,1301
1987,11,9,PS,0,487
1987,11,9,TW,4,783
1987,11,9,UA,7,1671
1987,11,9,US,2,1040
1987,11,9,WN,2,769
1987,11,10,AA,2,1795
1987,11,10,AS,0,260
1987,11,10,CO,6,1391
1987,11,10,DL,24,2034
1987,11,10,EA,23,1173
1987,11,10,HP,2,517
1987,11,10,NW,3,1197
1987,11,10,"PA (1)",2,185
1987,11,10,PI,24,1301
1987,11,10,PS,2,499
1987,11,10,TW,9,772
1987,11,10,UA,10,1661
1987,11,10,US,5,1033
1987,11,10,WN,0,757
1987,11,11,AA,59,1797
1987,11,11,AS,0,264
1987,11,11,CO,95,1438
1987,11,11,DL,82,2066
1987,11,11,EA,105,1199
1987,11,11,HP,2,514
1987,11,11,NW,57,1223
1987,11,11,"PA (1)",38,187
1987,11,11,PI,174,1302
1987,11,11,PS,4,508
1987,11,11,TW,60,803
1987,11,11,UA,91,1667
1987,11,11,US,149,1064
1987,11,11,WN,0,746
1987,11,12,AA,29,1810
1987,11,12,AS,0,264
1987,11,12,CO,55,1410
1987,11,12,DL,61,2060
1987,11,12,EA,108,1187
1987,11,12,HP,6,517
1987,11,12,NW,17,1234
1987,11,12,"PA (1)",18,183
1987,11,12,PI,31,1303
1987,11,12,PS,3,517
1987,11,12,TW,11,786
1987,11,12,UA,23,1656
1987,11,12,US,57,1072
1987,11,12,WN,4,760
1987,11,13,AA,11,1803
1987,11,13,AS,1,238
1987,11,13,CO,1,1374
1987,11,13,DL,17,2058
1987,11,13,EA,24,1205
1987,11,13,HP,2,512
1987,11,13,NW,1,1216
1987,11,13,"PA (1)",0,193
1987,11,13,PI,0,1299
1987,11,13,PS,14,509
1987,11,13,TW,1,781
1987,11,13,UA,9,1675
1987,11,13,US,2,1069
1987,11,13,WN,0,750
1987,11,14,AA,9,1787
1987,11,14,AS,1,206
1987,11,14,CO,8,1207
1987,11,14,DL,28,2002
1987,11,14,EA,15,1094
1987,11,14,HP,9,465
1987,11,14,NW,20,1119
1987,11,14,"PA (1)",0,190
1987,11,14,PI,17,1189
1987,11,14,PS,0,342
1987,11,14,TW,2,723
1987,11,14,UA,3,1608
1987,11,14,US,3,940
1987,11,14,WN,0,514
1987,11,15,AA,41,1777
1987,11,15,AS,4,208
